"","ID2","Start","End","Dura","Period","Lat.St","Lon.St","Lat.En","Lon.En","m","Speed.Mean","GPS.Speed.Sd","Speed.Sd","Dura2","Dura_flag","Sort.St","Sort.En","Avg.Lat.St","Avg.Lon.St","Num.St","Avg.Lat.En","Avg.Lon.En","Num.En","flag.En","flag.St"
"11559",185,1451612189,1451615142,49.2166666666667,10,28.65851,115.88978,28.735405,115.83841,14.1950613291838,20.0554397665694,17.7000966729411,0.0455070384082235,0.0174421296296296,1,13,3,28.65851,115.88978,0,28.735405,115.83841,0,0,20
"11560",185,1451616649,1451617203,9.23333333333333,10,28.735828,115.83837,28.759398,115.85043,4.1096813180321,27.1809523809524,14.7521385125782,0.0439476974460813,0.047349537037037,1,3,2,28.735828,115.83837,0,28.759398,115.85043,0,4,10
"11561",185,1451621294,1451621833,8.98333333333333,12,28.759394,115.84988,28.734413,115.839676,4.33227313631991,28.5518518518519,13.8491440395196,0.0519864898863252,0.0839814814814815,1,2,3,28.759394,115.84988,0,28.734413,115.839676,0,1,4
"11562",185,1451629089,1451630903,30.2333333333333,14,28.735249,115.83851,28.656708,115.88915,14.273464239373,32.1044871794872,20.5971776183856,0.0439377648683912,1.94518518518519,1,3,1,28.735249,115.83851,0,28.6581543333333,115.899154333333,6,5,10
"11563",185,1451798967,1451800196,20.4833333333333,13,28.656778,115.88918,28.665071,115.94932,7.70919209316735,25.5438095238095,17.6664489163369,0.0473350650189125,0.0961805555555555,1,1,1,28.656643,115.889279,4,28.665071,115.94932,0,0,29
"11564",185,1451808506,1451809766,21,16,28.665031,115.94702,28.657063,115.88911,7.51319286942023,26.2858585858586,16.4855576717758,0.0487733482402246,1.7452662037037,1,1,1,28.665031,115.94702,0,28.6581543333333,115.899154333333,6,5,6
"11565",185,1451960557,1451961821,21.0666666666667,10,28.656912,115.88902,28.6851,115.9001,8.2880524070426,25.1205240174673,15.7401142158931,0.0428512379317004,0.0364467592592593,1,1,8,28.6571855,115.889143375,16,28.6851,115.9001,0,0,31
"11566",185,1451964970,1451966664,28.2333333333333,11,28.68541,115.90037,28.656849,115.88907,5.31239542104206,15.0875781948168,11.8635435212653,0.0461236565391762,1.8150462962963,1,8,1,28.68541,115.90037,0,28.6581543333333,115.899154333333,6,5,2
"11567",185,1452123484,1452126143,44.3166666666667,8,28.656275,115.888695,28.75925,115.85289,16.6577127245369,25.1087533156499,18.0437480879565,0.0415699204063849,0.261956018518519,1,1,2,28.6567064,115.8886558,5,28.75925,115.85289,0,3,27
"11568",185,1452148776,1452149705,15.4833333333333,14,28.759348,115.852974,28.727049,115.80777,9.45956872942214,36.6262295081967,17.7053494398594,0.0610848705641493,0.0212037037037037,1,2,16,28.759348,115.852974,0,28.727049,115.80777,0,0,10
"11569",185,1452151537,1452152384,14.1166666666667,15,28.727331,115.80855,28.7592,115.853065,7.18710747431517,30.7628361858191,17.225553525846,0.0621192646160697,0.0370023148148148,1,16,2,28.727331,115.80855,0,28.7592,115.853065,0,2,0
"11570",185,1452155581,1452158160,42.9833333333333,16,28.759403,115.85296,28.65653,115.88904,18.0256152246847,27.2008658008658,18.8197531551641,0.0442917821148147,0.604583333333333,1,2,1,28.759403,115.85296,0,28.65653,115.88904,0,3,11
"11571",185,1452210396,1452212705,38.4833333333333,8,28.658419,115.88197,28.759165,115.85288,15.7413788544882,30.5599547511312,21.4890720546091,0.0440487720806297,0.345208333333333,1,1,2,28.658419,115.88197,0,28.759165,115.85288,0,3,0
"11572",185,1452242531,1452242650,1.98333333333333,16,28.757858,115.85288,28.760033,115.85502,0.512917981155375,15.0166666666667,7.38722874015579,0.0586553388512902,0.00407407407407407,1,2,2,28.757858,115.85288,0,28.760033,115.85502,0,2,5
"11573",185,1452243002,1452247577,76.25,17,28.76012,115.85483,28.65696,115.88924,17.6617081554168,17.6789972485478,17.6261113221195,0.0438834261536203,0.827638888888889,1,2,1,28.76012,115.85483,0,28.65696,115.88924,0,3,3
"11574",185,1452319085,1452323325,70.6666666666667,14,28.65659,115.889046,28.66461,115.94927,7.78290456648125,14.8013488657265,15.5316742869179,0.0413485589686318,0.137071759259259,1,1,1,28.656643,115.889279,4,28.662657625,115.93427625,8,6,29
"11575",185,1452335168,1452336817,27.4833333333333,18,28.664625,115.94893,28.658276,115.91901,4.54845689432859,14.5900497512438,12.8471360574254,0.0435384343637803,0.160497685185185,1,1,17,28.664625,115.94893,0,28.658276,115.91901,0,0,14
"11576",185,1452350684,1452352640,32.6,23,28.658257,115.91919,28.65702,115.88857,3.55544716412862,13.3165024630542,13.145194058655,0.031951973795236,0.640694444444444,1,17,1,28.658257,115.91919,0,28.65702,115.88857,0,0,0
"11577",185,1452407996,1452411880,64.7333333333333,14.6666666666667,28.656445,115.888374,28.759558,115.850685,17.8708344332476,0.00460114171813789,15.7986007188971,0.0513863221863674,0.0697337962962963,1,1,2,28.6567064,115.8886558,5,28.759558,115.850685,0,2,27
"11578",185,1452411593,1452411880,4.78333333333333,15,28.759567,115.85068,28.759558,115.850685,0.876493173655625,12.7325102880658,10.2222438482091,0.0549265360643002,0.0697337962962963,1,2,2,28.759567,115.85068,0,28.759558,115.850685,0,2,9
"11579",185,1452417905,1452420739,47.2333333333333,17,28.7595,115.849785,28.65711,115.889305,17.4319252657218,23.245472061657,15.3783513726072,0.042198518618687,0.669768518518519,1,2,1,28.7595,115.849785,0,28.65711,115.889305,0,4,4
